Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 01 2025,HSY250801C00125000,78.26,-1.052,81.7,98.44,969,2.2164,0.9574,0.0006,270,125,HSY25080100125000,0.01,0.009,0.0,0.01,682,2.071,-0.0011,0.0005,2628
Fri Aug 01 2025,HSY250801C00130000,53.44,-3.069,90.18,89.36,944,1.8985,0.9597,0.0004,134,130,HSY25080100130000,0.01,0.007,0.0,0.01,906,2.0398,-0.0015,0.0008,972
Fri Aug 01 2025,HSY250801C00135000,78.33,1.501,51.6,57.3,141,2.0233,0.9992,0.0004,12,135,HSY25080100135000,0.01,0.002,0.0,0.01,887,2.0162,-0.001,0.0,3217
Fri Aug 01 2025,HSY250801C00140000,98.66,-2.982,86.87,90.65,929,3.1866,0.9931,0.0006,327,140,HSY25080100140000,0.01,0.002,0.0,0.01,538,2.273,-0.0004,0.0005,2393
Fri Aug 01 2025,HSY250801C00145000,62.89,-3.833,52.38,62.04,931,3.2674,0.9573,0.0007,46,145,HSY25080100145000,0.01,0.003,0.0,0.01,51,1.5371,-0.0014,0.0006,4221
Fri Aug 01 2025,HSY250801C00150000,69.75,4.652,95.4,70.51,485,2.3138,0.9533,0.0003,369,150,HSY25080100150000,0.01,-0.002,0.0,0.01,558,1.7301,-0.0004,0.0004,1692
Fri Aug 01 2025,HSY250801C00155000,69.68,-0.291,69.25,86.97,3,3.2971,0.9924,0.0009,393,155,HSY25080100155000,0.01,0.001,0.0,0.01,900,2.3909,-0.0004,0.0006,2036
Fri Aug 01 2025,HSY250801C00160000,75.54,-1.366,56.0,63.47,594,2.5579,0.9655,0.0001,290,160,HSY25080100160000,0.01,0.007,0.0,0.01,49,2.9023,-0.0014,0.0003,4652
Fri Aug 01 2025,HSY250801C00165000,72.5,3.628,54.88,62.88,529,2.5315,0.9973,0.0002,274,165,HSY25080100165000,0.01,0.004,0.0,0.01,512,2.1831,-0.0005,0.0007,1698
Fri Aug 01 2025,HSY250801C00170000,70.29,-4.138,87.03,61.04,344,3.5182,0.9711,0.0003,380,170,HSY25080100170000,0.01,0.001,0.0,0.01,341,2.5634,-0.001,0.0005,3552
Fri Aug 01 2025,HSY250801C00175000,93.07,4.258,66.29,73.15,116,3.5221,0.9793,0.0008,7,175,HSY25080100175000,0.01,0.003,0.0,0.01,929,2.7348,-0.0009,0.0006,1890
Fri Aug 01 2025,HSY250801C00180000,53.41,0.136,77.36,95.5,12,3.5026,0.9576,0.0007,100,180,HSY25080100180000,0.01,-0.009,0.0,0.01,154,1.7551,-0.0012,0.0002,1556
Fri Aug 01 2025,HSY250801C00185000,62.54,2.858,88.71,96.76,360,1.8704,0.9596,0.0009,8,185,HSY25080100185000,0.01,0.004,0.0,0.01,339,2.1911,-0.0004,0.0,1815
Fri Aug 01 2025,HSY250801C00190000,68.68,0.766,79.19,74.52,398,1.8689,0.9657,0.0004,15,190,HSY25080100190000,0.01,0.006,0.0,0.01,23,2.2293,-0.0014,0.0001,4202
Fri Aug 01 2025,HSY250801C00195000,73.8,3.003,93.15,67.13,241,3.5209,0.9567,0.0003,288,195,HSY25080100195000,0.01,0.002,0.0,0.01,532,2.2977,-0.0007,0.0007,420
Fri Aug 01 2025,HSY250801C00200000,81.59,3.939,99.64,51.56,423,3.8525,0.9937,0.0003,149,200,HSY25080100200000,0.01,0.004,0.0,0.01,875,2.0355,-0.0006,0.0004,4784
Fri Aug 01 2025,HSY250801C00205000,67.71,-3.563,84.04,72.69,145,2.8226,0.9612,0.0002,199,205,HSY25080100205000,0.01,0.001,0.0,0.01,437,1.6674,-0.0004,0.0002,1867
Fri Aug 01 2025,HSY250801C00210000,83.78,4.019,75.57,96.42,481,2.4226,0.9955,0.0,8,210,HSY25080100210000,0.01,0.003,0.0,0.01,630,1.6555,-0.0013,0.0005,1716
Fri Aug 01 2025,HSY250801C00215000,71.53,-1.324,97.51,62.47,928,3.0891,0.9867,0.0005,425,215,HSY25080100215000,0.01,-0.004,0.0,0.01,466,1.7329,-0.001,0.0007,474
